Date (UTC),Timestamp (UTC),Abelardo de la Espriella,Iván Cepeda Castro,Paloma Valencia,Sergio Fajardo (DC),Roy Barreras,Juan Carlos Pinzón,Juan Daniel Oviedo (IND),Vicky Dávila (IND),Daniel Quintero,Claudia López (IND),Germán Vargas Lleras (RC),David Luna Sánchez (IND),Mauricio Cárdenas,Enrique Peñalosa,Juan Manuel Galán (NL),Luis Gilberto Murillo (CRB),Gustavo Bolívar (HC),Miguel Uribe Turbay (CD)
07-30-2025 00:00,1753833610,,,,0.34,,,0.095,0.31,,0.18,0.195,0.095,,,0.175,0.14,0.35,0.095
07-31-2025 00:00,1753920008,,,,0.24,,,0.07,0.255,,0.095,0.065,0.05,,,0.027,0.065,0.135,0.085
08-01-2025 00:00,1754006409,,,,0.17,,,0.045,0.225,,0.105,0.035,0.02,,,0.0225,0.045,0.11,0.09
08-02-2025 00:00,1754092809,,,,0.17,,,0.045,0.235,,0.105,0.034,0.016,,,0.0225,0.045,0.11,0.095
08-03-2025 00:00,1754179208,,,,0.185,,,0.05,0.23,,0.125,0.034,0.0185,,,0.0235,0.05,0.115,0.085
08-04-2025 00:00,1754265607,,,,0.185,,,0.05,0.275,,0.12,0.0345,0.0195,,,0.0235,0.05,0.115,0.08
08-05-2025 00:00,1754352008,,,,0.15,,,0.045,0.275,,0.125,0.0325,0.015,,,0.0235,0.05,0.115,0.07
08-06-2025 00:00,1754438409,,,,0.15,,,0.05,0.275,,0.125,0.03,0.017,,,0.024,0.05,0.115,0.07
08-07-2025 00:00,1754524803,,,,0.165,,,0.04,0.275,,0.125,0.03,0.0155,,,0.0225,0.04,0.115,0.07
08-08-2025 00:00,1754611204,,,,0.195,,,0.0345,0.275,,0.125,0.031,0.0155,,,0.0235,0.0345,0.105,0.07
08-09-2025 00:00,1754697602,,,,0.175,,,0.028,0.275,,0.125,0.0275,0.015,,,0.0215,0.028,0.105,0.07
08-10-2025 00:00,1754784003,,,,0.175,,,0.0245,0.275,,0.115,0.028,0.015,,,0.022,0.0245,0.105,0.055
08-11-2025 00:00,1754870402,,,,0.175,,,0.0225,0.275,,0.125,0.0285,0.0145,,,0.02,0.023,0.105,0.045
08-12-2025 00:00,1754956804,,,,0.195,,,0.0225,0.285,,0.125,0.0275,0.015,,,0.0225,0.023,0.105,0.0145
08-13-2025 00:00,1755043203,,,,0.15,,,0.0225,0.285,,0.11,0.0275,0.015,,,0.021,0.0225,0.095,0.017
08-14-2025 00:00,1755129602,,,,0.14,,,0.022,0.285,,0.11,0.028,0.015,,,0.021,0.022,0.095,0.0175
08-15-2025 00:00,1755216007,,,,0.15,,,0.0215,0.285,,0.115,0.028,0.0155,,,0.026,0.0215,0.095,0.0295
08-16-2025 00:00,1755302402,,,,0.15,,,0.017,0.275,,0.11,0.0305,0.015,,,0.025,0.0185,0.095,0.033
08-17-2025 00:00,1755388805,,,,0.14,,,0.0165,0.245,,0.11,0.0275,0.0145,,,0.021,0.0185,0.19,0.016
08-18-2025 00:00,1755475202,,,,0.215,,,0.016,0.25,,0.12,0.0275,0.0125,,,0.0215,0.018,0.195,0.012
08-19-2025 00:00,1755561602,,,,0.215,,,0.0175,0.255,,0.09,0.0255,0.0135,,,0.0215,0.0175,0.18,0.0125
08-20-2025 00:00,1755648003,,,,0.235,,,0.0175,0.26,,0.08,0.025,0.0135,,,0.0205,0.0175,0.18,0.0135
08-21-2025 00:00,1755734403,,,,0.21,,,0.017,0.22,,0.06,0.0235,0.0125,,,0.0205,0.0175,0.185,0.016
08-22-2025 00:00,1755820803,,,,0.235,,,0.0175,0.245,,0.085,0.022,0.0125,,,0.0205,0.0175,0.195,0.017
08-23-2025 00:00,1755907202,,,,0.145,,,0.017,0.27,,0.085,0.022,0.0125,,,0.0185,0.0175,0.17,0.015
08-24-2025 00:00,1755993604,,,,0.2,,,0.017,0.28,,0.085,0.018,0.0125,,,0.0185,0.0175,0.19,0.015
08-25-2025 00:00,1756080002,,,,0.21,,,0.0165,0.285,,0.08,0.022,0.0125,,,0.0185,0.0175,0.19,0.016
08-26-2025 00:00,1756166402,0.5,0.5,,0.195,,,0.0155,0.315,,0.075,0.0155,0.0125,0.49,,0.0185,0.017,0.225,
08-27-2025 00:00,1756252802,0.245,0.085,,0.205,,,0.015,0.33,,0.07,0.012,0.0125,0.125,,0.016,0.0155,0.23,
08-28-2025 00:00,1756339202,0.25,0.165,,0.16,,,0.015,0.265,,0.06,0.01,0.0125,0.125,,0.014,0.015,0.16,
08-29-2025 00:00,1756425602,0.25,0.155,,0.17,,,0.015,0.31,,0.065,0.0095,0.0125,0.11,,0.012,0.0155,0.165,
08-30-2025 00:00,1756512002,0.525,0.155,,0.185,,,0.0155,0.315,,0.06,0.01,0.012,0.11,,0.012,0.0155,0.18,
08-31-2025 00:00,1756598402,0.52,0.16,,0.18,,,0.016,0.285,,0.06,0.009,0.012,0.11,,0.0115,0.0155,0.165,
09-01-2025 00:00,1756684804,0.135,0.2,,0.185,,,0.016,0.245,,0.06,0.009,0.012,0.1,,0.011,0.0155,0.205,
09-02-2025 00:00,1756771203,0.555,0.185,,0.16,,,0.0175,0.29,,0.055,0.0035,0.0095,0.13,,0.0075,0.014,0.185,
09-03-2025 00:00,1756857602,0.475,0.18,,0.165,,,0.0185,0.235,,0.055,0.0035,0.009,0.125,,0.0055,0.014,0.215,
09-04-2025 00:00,1756944006,0.445,0.175,,0.155,,,0.0175,0.205,,0.04,0.003,0.004,0.105,,0.0045,0.012,0.215,
09-05-2025 00:00,1757030403,0.245,0.18,,0.16,,,0.018,0.195,,0.0225,0.005,0.0055,0.095,,0.0055,0.0125,0.2,
09-06-2025 00:00,1757116808,0.315,0.145,,0.18,,,0.015,0.18,,0.0335,0.0085,0.0055,0.235,,0.0065,0.008,0.175,
09-07-2025 00:00,1757203203,0.255,0.125,,0.165,,,0.0155,0.19,,0.033,0.014,0.0055,0.195,,0.0065,0.008,0.125,
09-08-2025 00:00,1757289611,0.26,0.125,,0.175,,,0.015,0.19,,0.033,0.0145,0.0055,0.125,,0.007,0.0075,0.17,
09-09-2025 00:00,1757376004,0.245,0.125,,0.2,,,0.0155,0.2,,0.0355,0.0135,0.007,0.13,,0.0065,0.0075,0.145,
09-10-2025 00:00,1757462402,0.315,0.105,,0.185,,,0.0155,0.2,,0.0205,0.008,0.0065,0.195,,0.0065,0.0075,0.105,
09-11-2025 00:00,1757548804,0.245,0.125,,0.16,,,0.0145,0.18,,0.0175,0.005,0.0065,0.16,,0.0065,0.0065,0.085,
09-12-2025 00:00,1757635203,0.35,0.125,,0.15,,,0.0145,0.185,,0.017,0.005,0.006,0.12,,0.0055,0.006,0.085,
09-13-2025 00:00,1757721603,0.37,0.105,,0.16,,,0.0145,0.18,,0.017,0.0055,0.006,0.08,,0.0055,0.0065,0.095,
09-14-2025 00:00,1757808003,0.44,0.095,,0.17,,,0.0155,0.18,,0.0195,0.0055,0.006,0.06,,0.0055,0.008,0.095,
09-15-2025 00:00,1757894403,0.43,0.13,,0.16,,,0.016,0.16,,0.0175,0.0065,0.006,0.045,,0.0055,0.0075,0.11,
09-16-2025 00:00,1757980805,0.365,0.15,,0.155,,,0.015,0.165,,0.016,0.0235,0.006,0.0585,,0.0055,0.0075,0.105,
09-17-2025 00:00,1758067202,0.4,0.135,,0.15,,,0.0155,0.16,,0.016,0.021,0.0055,0.0885,,0.0045,0.0075,0.105,
09-18-2025 00:00,1758153605,0.385,0.145,,0.15,,,0.0135,0.16,,0.016,0.0165,0.004,0.099,,0.0045,0.0065,0.1,
09-19-2025 00:00,1758240004,0.375,0.14,,0.15,,,0.0135,0.16,,0.0165,0.02,0.003,0.0645,,0.0045,0.0075,0.085,
09-20-2025 00:00,1758326402,0.375,0.14,,0.15,,,0.014,0.185,,0.016,0.02,0.0025,0.05,,0.005,0.008,0.085,
09-21-2025 00:00,1758412802,0.375,0.135,,0.15,,,0.014,0.165,,0.0165,0.0205,0.0025,0.0375,,0.005,0.008,0.08,
09-22-2025 00:00,1758499204,0.355,0.135,,0.15,,,0.013,0.165,,0.02,0.0205,0.0025,0.0375,,0.0055,0.0075,0.08,
09-23-2025 00:00,1758585604,0.335,0.135,,0.155,,,0.0115,0.175,,0.02,0.0205,0.0025,0.0375,,0.0055,0.0075,0.04,
09-24-2025 00:00,1758672006,0.335,0.135,,0.155,,,0.0115,0.18,,0.02,0.024,0.0025,0.0375,,0.0055,0.0075,0.05,
09-25-2025 00:00,1758758402,0.37,0.135,,0.125,,,0.0155,0.15,,0.087,0.024,0.0025,0.058,,0.0135,0.0075,0.051,
09-26-2025 00:00,1758844804,0.375,0.125,,0.115,,,0.016,0.15,,0.087,0.024,0.0025,0.041,,0.0135,0.0075,0.053,
09-27-2025 00:00,1758931203,0.37,0.12,,0.115,,,0.017,0.145,,0.0865,0.024,0.061,0.0395,,0.0135,0.005,0.0365,
09-28-2025 00:00,1759017603,0.375,0.22,,0.1,,,0.017,0.145,,0.0415,0.025,0.0655,0.0405,,0.0135,0.0055,0.022,
09-29-2025 00:00,1759104003,0.355,0.175,,0.1,,,0.017,0.15,,0.0415,0.025,0.0635,0.043,,0.0135,0.0055,0.021,
09-30-2025 00:00,1759190402,0.415,0.15,,0.1,,,0.02,0.145,,0.0415,0.025,0.062,0.0415,,0.0135,0.0055,0.025,
10-01-2025 00:00,1759276802,0.405,0.14,,0.095,,,0.019,0.145,,0.042,0.025,0.0305,0.042,,0.0105,0.0055,0.025,
10-02-2025 00:00,1759363203,0.42,0.105,,0.09,,,0.019,0.145,,0.0365,0.025,0.027,0.032,,0.0105,0.0055,0.025,
10-03-2025 00:00,1759449603,0.375,0.125,,0.09,,,0.019,0.145,,0.0365,0.025,0.022,0.04,,0.008,0.0055,0.1195,
10-04-2025 00:00,1759536002,0.345,0.14,,0.12,0.111,,0.019,0.15,0.125,0.036,0.025,0.022,0.0715,0.125,0.008,0.005,0.0175,
10-05-2025 00:00,1759622402,0.37,0.14,,0.12,0.111,,0.019,0.145,0.135,0.03,0.025,0.022,0.045,0.135,0.0085,0.006,0.015,
10-06-2025 00:00,1759708803,0.385,0.145,,0.115,0.1125,,0.019,0.14,0.13,0.029,0.025,0.022,0.029,0.065,0.0085,0.006,0.015,
10-07-2025 00:00,1759795204,0.38,0.15,,0.115,0.088,,0.0185,0.14,0.14,0.0275,0.025,0.022,0.0285,0.05,0.0085,0.006,0.0175,
10-08-2025 00:00,1759881602,0.38,0.15,,0.115,0.0925,,0.0185,0.14,0.13,0.0265,0.025,0.017,0.0285,0.035,0.0085,0.006,0.014,
10-09-2025 00:00,1759968005,0.405,0.14,,0.115,0.095,,0.0185,0.14,0.115,0.027,0.0255,0.0175,0.0225,0.035,0.0055,0.006,0.014,
10-10-2025 00:00,1760054405,0.415,0.14,,0.115,0.0945,,0.0185,0.14,0.11,0.027,0.0255,0.0045,0.018,0.0275,0.0055,0.006,0.0145,
10-11-2025 00:00,1760140804,0.345,0.155,,0.115,0.0925,,0.0195,0.14,0.11,0.0305,0.1245,0.0035,0.02,0.0275,0.0095,0.006,0.015,
10-12-2025 00:00,1760227202,0.375,0.155,,0.115,0.081,,0.0195,0.14,0.11,0.029,0.102,0.0035,0.019,0.0275,0.0115,0.0055,0.015,
10-13-2025 00:00,1760313604,0.365,0.155,,0.115,0.081,,0.019,0.14,0.11,0.0285,0.119,0.0035,0.02,0.0275,0.0115,0.005,0.016,
10-14-2025 00:00,1760400003,0.365,0.155,,0.115,0.081,,0.019,0.135,0.095,0.0195,0.036,0.0025,0.078,0.0275,0.0115,0.0055,0.016,
10-15-2025 00:00,1760486404,0.34,0.165,,0.115,0.121,,0.0195,0.135,0.065,0.015,0.036,0.0025,0.0795,0.0275,0.009,0.0055,0.017,
10-16-2025 00:00,1760572808,0.345,0.165,,0.125,0.176,,0.0075,0.135,0.031,0.03,0.0355,0.0025,0.079,0.0225,0.004,0.0045,0.014,
10-17-2025 00:00,1760659203,0.385,0.165,,0.125,0.1745,,0.0075,0.135,0.0405,0.0335,0.0355,0.0025,0.03,0.0225,0.004,0.0045,0.014,
10-18-2025 00:00,1760745604,0.39,0.16,,0.12,0.169,,0.0075,0.135,0.0405,0.0325,0.0355,0.0025,0.0295,0.0225,0.004,0.0045,0.012,
10-19-2025 00:00,1760832006,0.37,0.13,,0.12,0.197,,0.005,0.105,0.0355,0.029,0.138,0.0025,0.0275,0.0205,0.004,0.004,0.0025,
10-20-2025 00:00,1760918403,0.365,0.105,,0.12,0.2835,,0.018,0.1,0.035,0.0295,0.032,0.0025,0.021,0.0205,0.004,0.004,0.0025,
10-21-2025 00:00,1761004805,0.355,0.115,,0.115,0.284,,0.0045,0.09,0.031,0.024,0.011,0.0025,0.018,0.0135,0.004,0.004,0.0025,
10-22-2025 00:00,1761091207,0.355,0.15,,0.11,0.286,,0.0045,0.075,0.024,0.029,0.0315,0.0025,0.017,0.0135,0.004,0.004,0.0025,
10-23-2025 00:00,1761177606,0.375,0.175,,0.115,0.101,,0.0045,0.075,0.0045,0.023,0.032,0.0025,0.0175,0.0135,0.004,0.004,0.0025,
10-24-2025 00:00,1761264008,0.36,0.115,,0.125,0.0655,,0.0045,0.075,0.0045,0.025,0.032,0.0275,0.016,0.0125,0.004,0.004,0.003,
10-25-2025 00:00,1761350408,0.205,0.175,,0.155,0.0655,,0.0045,0.075,0.0045,0.025,0.032,0.005,0.016,0.0125,0.004,0.004,0.003,
10-26-2025 00:00,1761436807,0.33,0.19,,0.165,0.0655,,0.004,0.085,0.0045,0.021,0.032,0.004,0.016,0.0125,0.003,0.004,0.003,
10-27-2025 00:00,1761523207,0.21,0.17,,0.165,0.085,,0.004,0.085,0.0045,0.021,0.032,0.2,0.016,0.0125,0.003,0.004,0.003,
10-28-2025 00:00,1761609608,0.28,0.265,,0.145,0.085,,0.004,0.085,0.0045,0.021,0.031,0.1175,0.016,0.0125,0.003,0.0035,0.0025,
10-29-2025 00:00,1761696008,0.28,0.2,,0.155,0.0805,,0.004,0.09,0.0045,0.022,0.031,0.1475,0.016,0.0125,0.003,0.0035,0.0025,
10-30-2025 00:00,1761782408,0.295,0.19,,0.15,0.0805,0.105,0.004,0.085,0.0045,0.023,0.009,0.0215,0.0065,0.0125,0.0105,0.004,0.0035,
10-31-2025 00:00,1761868806,0.295,0.195,,0.155,0.08,0.1,0.004,0.085,0.0045,0.0235,0.036,0.0185,0.0025,0.0055,0.0105,0.0055,0.0035,
11-01-2025 00:00,1761955207,0.295,0.2,,0.16,0.0805,0.09,0.004,0.085,0.0045,0.024,0.036,0.022,0.0025,0.006,0.0125,0.0035,0.0035,
11-02-2025 00:00,1762041607,0.32,0.23,,0.16,0.0875,0.085,0.004,0.085,0.0035,0.024,0.036,0.022,0.0025,0.006,0.013,0.006,0.003,
11-03-2025 00:00,1762128005,0.335,0.235,,0.16,0.0955,0.07,0.004,0.075,0.0035,0.023,0.036,0.022,0.067,0.006,0.013,0.0035,0.003,
11-04-2025 00:00,1762214407,0.315,0.24,,0.16,0.0655,0.065,0.004,0.075,0.003,0.025,0.0375,0.023,0.048,0.006,0.013,0.0035,0.0035,
11-05-2025 00:00,1762300807,0.34,0.28,,0.155,0.065,0.065,0.004,0.075,0.003,0.023,0.0375,0.022,0.048,0.0035,0.013,0.0045,0.0035,
