"date","Candidate","avg"
2026-02-24,"Cepeda",0.368517229872733
2026-02-24,"Abelardo",0.294813783898186
2026-02-24,"Fajardo",0
2026-02-24,"Lopez",0
2026-02-24,"Paloma",0.294813783898186
2026-02-25,"Cepeda",0
2026-02-25,"Abelardo",0
2026-02-25,"Fajardo",0
2026-02-25,"Lopez",0
2026-02-25,"Paloma",0
2026-02-26,"Cepeda",0.638763198446071
2026-02-26,"Abelardo",0
2026-02-26,"Fajardo",0
2026-02-26,"Lopez",0.319381599223035
2026-02-26,"Paloma",0
2026-02-27,"Cepeda",0.958144797669106
2026-02-27,"Abelardo",0
2026-02-27,"Fajardo",0
2026-02-27,"Lopez",0
2026-02-27,"Paloma",0
2026-02-28,"Cepeda",0.958144797669106
2026-02-28,"Abelardo",0
2026-02-28,"Fajardo",0
2026-02-28,"Lopez",0
2026-02-28,"Paloma",0
2026-03-01,"Cepeda",0.511010558756857
2026-03-01,"Abelardo",0.447134238912249
2026-03-01,"Fajardo",0
2026-03-01,"Lopez",0
2026-03-01,"Paloma",0
2026-03-02,"Cepeda",0.411353894337639
2026-03-02,"Abelardo",0.331748631072649
2026-03-02,"Fajardo",0.160291140963441
2026-03-02,"Lopez",0.0273755656476887
2026-03-02,"Paloma",0.0273755656476887
2026-03-03,"Cepeda",0.775641026684514
2026-03-03,"Abelardo",0.11406485686537
2026-03-03,"Fajardo",0.0380216189551233
2026-03-03,"Lopez",0.0304172951640986
2026-03-03,"Paloma",0
2026-03-04,"Cepeda",0.575239137718254
2026-03-04,"Abelardo",0.329010015081965
2026-03-04,"Fajardo",0.0299420249271596
2026-03-04,"Lopez",0.0239536199417276
2026-03-04,"Paloma",0
2026-03-05,"Cepeda",0.447097486139036
2026-03-05,"Abelardo",0.480726273629149
2026-03-05,"Fajardo",0.0303210379009211
2026-03-05,"Lopez",0
2026-03-05,"Paloma",0
2026-03-06,"Cepeda",0.479072398834553
2026-03-06,"Abelardo",0.452457265565967
2026-03-06,"Fajardo",0.0266151332685863
2026-03-06,"Lopez",0
2026-03-06,"Paloma",0
2026-03-07,"Cepeda",0.350152583865786
2026-03-07,"Abelardo",0.364830697229857
2026-03-07,"Fajardo",0.108671092315922
2026-03-07,"Lopez",0
2026-03-07,"Paloma",0.134490424257541
2026-03-08,"Cepeda",0.321590889850987
2026-03-08,"Abelardo",0.257750573261058
2026-03-08,"Fajardo",0.070680934978699
2026-03-08,"Lopez",0.0526302122925436
2026-03-08,"Paloma",0.255492187285818
2026-03-09,"Cepeda",0.305692006025508
2026-03-09,"Abelardo",0.188514664205617
2026-03-09,"Fajardo",0.0427605737993583
2026-03-09,"Lopez",0.0854641208277016
2026-03-09,"Paloma",0.335713432810921
2026-03-10,"Cepeda",0.319150913810861
2026-03-10,"Abelardo",0.220751815854483
2026-03-10,"Fajardo",0.0239536199417276
2026-03-10,"Lopez",0.0811259392366059
2026-03-10,"Paloma",0.313162508825429
2026-03-11,"Cepeda",0.297804751991712
2026-03-11,"Abelardo",0.180670134150281
2026-03-11,"Fajardo",0.0233693853090026
2026-03-11,"Lopez",0.11129227151418
2026-03-11,"Paloma",0.34500825470393
2026-03-12,"Cepeda",0.276858107116935
2026-03-12,"Abelardo",0.184304438022743
2026-03-12,"Fajardo",0.0705904645630953
2026-03-12,"Lopez",0.104454721549427
2026-03-12,"Paloma",0.321937066416905
2026-03-13,"Cepeda",0.28843760652106
2026-03-13,"Abelardo",0.192732872486263
2026-03-13,"Fajardo",0.0244829817083957
2026-03-13,"Lopez",0.113780501677119
2026-03-13,"Paloma",0.338710835276269
2026-03-14,"Cepeda",0.354897620842699
2026-03-14,"Abelardo",0.0930572285505966
2026-03-14,"Fajardo",0.0213686969264333
2026-03-14,"Lopez",0.0454946450691806
2026-03-14,"Paloma",0.443326606280197
2026-03-15,"Cepeda",0.417977274928933
2026-03-15,"Abelardo",0.076938822082637
2026-03-15,"Fajardo",0.0143619134554256
2026-03-15,"Lopez",0.0512925480550913
2026-03-15,"Paloma",0.397574239147019
2026-03-16,"Cepeda",0.467515827810035
2026-03-16,"Abelardo",0.0714406208788368
2026-03-16,"Fajardo",0.0105059736586525
2026-03-16,"Lopez",0.0483274788298014
2026-03-16,"Paloma",0.36035489649178
2026-03-17,"Cepeda",0.663931857080495
2026-03-17,"Abelardo",0.057280395512827
2026-03-17,"Fajardo",0.0130182717074607
2026-03-17,"Lopez",0.0468657781468584
2026-03-17,"Paloma",0.177048495221465
2026-03-18,"Cepeda",0.519993166235004
2026-03-18,"Abelardo",0.0509014423761712
2026-03-18,"Fajardo",0.0149710124635798
2026-03-18,"Lopez",0.207598039494973
2026-03-18,"Paloma",0.164681137099378
2026-03-19,"Cepeda",0.725082549587432
2026-03-19,"Abelardo",0.0345277404565444
2026-03-19,"Fajardo",0
2026-03-19,"Lopez",0.0388437080136124
2026-03-19,"Paloma",0.159690799611518
2026-03-20,"Cepeda",0.61241690490747
2026-03-20,"Abelardo",0
2026-03-20,"Fajardo",0
2026-03-20,"Lopez",0.0177434221790575
2026-03-20,"Paloma",0.327984470582578
2026-03-21,"Cepeda",0.820329450059166
2026-03-21,"Abelardo",0
2026-03-21,"Fajardo",0
2026-03-21,"Lopez",0.01968790680142
2026-03-21,"Paloma",0.11812744080852
2026-03-22,"Cepeda",0.857694133397345
2026-03-22,"Abelardo",0
2026-03-22,"Fajardo",0
2026-03-22,"Lopez",0.0231809225242526
2026-03-22,"Paloma",0.0772697417475085
2026-03-23,"Cepeda",0.892389762534952
2026-03-23,"Abelardo",0
2026-03-23,"Fajardo",0
2026-03-23,"Lopez",0.028180729343209
2026-03-23,"Paloma",0.0375743057909453
2026-03-24,"Cepeda",0.886793589332045
2026-03-24,"Abelardo",0
2026-03-24,"Fajardo",0
2026-03-24,"Lopez",0.0305790892873119
2026-03-24,"Paloma",0.0407721190497492
2026-03-25,"Cepeda",0.612785597686725
2026-03-25,"Abelardo",0.0966238945907071
2026-03-25,"Fajardo",0.0212471391246581
2026-03-25,"Lopez",0.0369295513357153
2026-03-25,"Paloma",0.190558614931301
2026-03-26,"Cepeda",0.617187952115578
2026-03-26,"Abelardo",0.0953048282787888
2026-03-26,"Fajardo",0.0214053625011183
2026-03-26,"Lopez",0.0372045586328961
2026-03-26,"Paloma",0.187042096140724
2026-03-27,"Cepeda",0.665095191999034
2026-03-27,"Abelardo",0.0953048282787888
2026-03-27,"Fajardo",0.0214053625011183
2026-03-27,"Lopez",0.0372045586328961
2026-03-27,"Paloma",0.139134856257269
2026-03-28,"Cepeda",0.663370724679311
2026-03-28,"Abelardo",0.0965372182996351
2026-03-28,"Fajardo",0.0216821559817362
2026-03-28,"Lopez",0.0356206848271381
2026-03-28,"Paloma",0.140934013881286
2026-03-29,"Cepeda",0.664004647416923
2026-03-29,"Abelardo",0.0963296113785607
2026-03-29,"Fajardo",0.0216355276893024
2026-03-29,"Lopez",0.0355440812038539
2026-03-29,"Paloma",0.140630929980466
2026-03-30,"Cepeda",0.663052737545557
2026-03-30,"Abelardo",0.0966413576937016
2026-03-30,"Fajardo",0.0217055455782645
2026-03-30,"Lopez",0.0356591105928632
2026-03-30,"Paloma",0.141086046258719
2026-03-31,"Cepeda",0.500595941390888
2026-03-31,"Abelardo",0.175659879572669
2026-03-31,"Fajardo",0.0218706964685339
2026-03-31,"Lopez",0.117858753191544
2026-03-31,"Paloma",0.142159527045471
2026-04-01,"Cepeda",0.501227060267893
2026-04-01,"Abelardo",0.173426689700189
2026-04-01,"Fajardo",0.0196733393528063
2026-04-01,"Lopez",0.118660366636971
2026-04-01,"Paloma",0.145157341711246
